Comment,Designator,Footprint,LCSC
100nf,"C1,C10,C11,C12,C14,C15,C16,C17,C18,C19,C2,C20,C21,C22,C23,C24,C25,C3,C4,C5,C6,C7,C8,C9",C0402,C1525
XL-5050RGBC-WS2812B,"LED1,LED10,LED11,LED12,LED13,LED14,LED15,LED16,LED17,LED18,LED19,LED2,LED20,LED21,LED22,LED23,LED24,LED3,LED4,LED5,LED6,LED7,LED8,LED9",LED-SMD_4P-L5.0-W5.0-BL_XL-5050RGBC,C2843785
TS-1187A-B-A-B,"SW1,SW10,SW11,SW12,SW13,SW14,SW15,SW16,SW17,SW18,SW19,SW2,SW20,SW21,SW22,SW23,SW24,SW3,SW4,SW5,SW6,SW7,SW8,SW9",SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,C318884
PY32F002AF15P6TU,"U1,U2",TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL,C5292059
Conn_01x01,J78,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x01,J77,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x01,J76,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x01,J75,PinHeader_1x01_P2.54mm_Vertical,
10k,R46,R_0402_1005Metric,
10k,R45,R_0402_1005Metric,
0 ohm,R44,R_0402_1005Metric,
0 ohm,R43,R_0402_1005Metric,
0 ohm,R42,R_0402_1005Metric,
0 ohm,R41,R_0402_1005Metric,
10k,R40,R_0402_1005Metric,
10k,R39,R_0402_1005Metric,
10k,R38,R_0402_1005Metric,
10k,R37,R_0402_1005Metric,
10k,R36,R_0402_1005Metric,
10k,R35,R_0402_1005Metric,
10k,R34,R_0402_1005Metric,
10k,R33,R_0402_1005Metric,
DNP,R32,R_0402_1005Metric,
10k,R31,R_0402_1005Metric,
0 ohm,R30,R_0402_1005Metric,
0 ohm,R29,R_0402_1005Metric,
10k,R28,R_0402_1005Metric,
0 ohm,R27,R_0402_1005Metric,
0 ohm,R26,R_0402_1005Metric,
10k,R25,R_0402_1005Metric,
10k,R24,R_0402_1005Metric,
Conn_01x01,J98,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x01,J97,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x01,J96,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x01,J95,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x01,J94,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x01,J93,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x01,J92,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x01,J91,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x01,J90,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x01,J89,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x01,J62,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x01,J61,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x01,J59,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x01,J58,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x01,J57,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x01,J56,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x01,J55,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x01,J54,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x01,J53,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x01,J52,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x01,J50,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x01,J49,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x01,J47,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x01,J46,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x01,J45,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x01,J44,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x01,J43,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x01,J41,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x01,J40,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x01,J38,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x01,J37,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x01,J36,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x01,J35,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x01,J34,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x01,J33,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x01,J32,PinHeader_1x01_P2.54mm_Vertical,
MountingHole,H8,MountingHole_2.2mm_M2,
MountingHole,H7,MountingHole_2.2mm_M2,
MountingHole,H6,MountingHole_2.2mm_M2,
MountingHole,H5,MountingHole_2.2mm_M2,
100nf,C26,C0402,
Conn_01x01,J10,PinHeader_1x01_P2.54mm_Vertical,
10k,R19,R_0402_1005Metric,
Conn_01x01,J63,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x01,J67,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x01,J21,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x01,J5,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x01,J15,PinHeader_1x01_P2.54mm_Vertical,
10k,R9,R_0402_1005Metric,
0 ohm,R22,R_0402_1005Metric,
Conn_01x01,J9,PinHeader_1x01_P2.54mm_Vertical,
10k,R13,R_0402_1005Metric,
0 ohm,R14,R_0402_1005Metric,
Conn_01x01,J2,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x01,J20,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x01,J30,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x01,J22,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x01,J13,PinHeader_1x01_P2.54mm_Vertical,
10k,R8,R_0402_1005Metric,
Conn_01x01,J31,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x01,J11,PinHeader_1x01_P2.54mm_Vertical,
MountingHole,H1,MountingHole_2.2mm_M2,
Conn_01x01,J1,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x01,J66,PinHeader_1x01_P2.54mm_Vertical,
MountingHole,H2,MountingHole_2.2mm_M2,
MountingHole,H3,MountingHole_2.2mm_M2,
0 ohm,R20,R_0402_1005Metric,
Conn_01x01,J29,PinHeader_1x01_P2.54mm_Vertical,
10k,R2,R_0402_1005Metric,
10k,R10,R_0402_1005Metric,
10k,R18,R_0402_1005Metric,
10k,R11,R_0402_1005Metric,
Conn_01x01,J4,PinHeader_1x01_P2.54mm_Vertical,
100nf,C13,C0402,
Conn_01x01,J65,PinHeader_1x01_P2.54mm_Vertical,
DNP,R7,R_0402_1005Metric,
Conn_01x01,J18,PinHeader_1x01_P2.54mm_Vertical,
MountingHole,H4,MountingHole_2.2mm_M2,
0 ohm,R12,R_0402_1005Metric,
Conn_01x01,J27,PinHeader_1x01_P2.54mm_Vertical,
10k,R17,R_0402_1005Metric,
10k,R1,R_0402_1005Metric,
Conn_01x01,J6,PinHeader_1x01_P2.54mm_Vertical,
0 ohm,R23,R_0402_1005Metric,
Conn_01x01,J25,PinHeader_1x01_P2.54mm_Vertical,
0 ohm,R4,R_0402_1005Metric,
Conn_01x01,J26,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x01,J16,PinHeader_1x01_P2.54mm_Vertical,
10k,R16,R_0402_1005Metric,
Conn_01x01,J64,PinHeader_1x01_P2.54mm_Vertical,
10k,R6,R_0402_1005Metric,
Conn_01x01,J51,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x01,J12,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x01,J68,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x01,J24,PinHeader_1x01_P2.54mm_Vertical,
0 ohm,R21,R_0402_1005Metric,
10k,R15,R_0402_1005Metric,
Conn_01x01,J60,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x01,J17,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x01,J8,PinHeader_1x01_P2.54mm_Vertical,
0 ohm,R5,R_0402_1005Metric,
10k,R3,R_0402_1005Metric,
Conn_01x01,J7,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x01,J19,PinHeader_1x01_P2.54mm_Vertical,
Conn_01x01,J14,PinHeader_1x01_P2.54mm_Vertical,
